trial,category,focal,targetPresent,responsePresent,duration,tp,fa
527,44,1,0,0,16,0,0
528,45,0,1,1,1,1,0
529,46,1,0,0,16,0,0
530,47,1,0,0,1,0,0
531,48,0,1,1,16,1,0
532,49,0,1,1,4,1,0
533,50,1,1,1,8,1,0
534,51,1,0,0,32,0,0
535,52,1,1,1,1,1,0
536,53,0,0,0,32,0,0
537,54,0,0,0,32,0,0
538,55,0,0,1,2,0,1
539,56,1,0,0,2,0,0
540,57,1,1,1,8,1,0
541,58,1,0,1,4,0,1
542,59,1,1,1,32,1,0
543,60,0,0,0,16,0,0
544,61,0,1,1,8,1,0
545,62,0,1,1,16,1,0
546,63,1,0,0,8,0,0
547,64,0,0,0,8,0,0
548,65,0,1,1,1,1,0
549,66,1,1,1,8,1,0
550,67,0,1,1,16,1,0
551,68,0,0,0,1,0,0
552,69,1,0,0,8,0,0
553,70,0,0,1,1,0,1
554,71,0,0,1,1,0,1
555,72,1,1,1,1,1,0
556,73,1,0,0,1,0,0
557,74,1,0,0,16,0,0
558,75,1,1,1,16,1,0
559,76,1,0,1,2,0,1
560,77,1,1,1,2,1,0
561,78,0,1,1,4,1,0
562,79,1,0,0,4,0,0
563,80,1,0,0,16,0,0
